类别：所有类别

周,流行性感冒: (澳门)
2017-01-01,0
2017-01-08,36
2017-01-15,29
2017-01-22,46
2017-01-29,30
2017-02-05,0
2017-02-12,0
2017-02-19,0
2017-02-26,0
2017-03-05,0
2017-03-12,0
2017-03-19,0
2017-03-26,0
2017-04-02,0
2017-04-09,0
2017-04-16,0
2017-04-23,0
2017-04-30,0
2017-05-07,22
2017-05-14,0
2017-05-21,0
2017-05-28,0
2017-06-04,28
2017-06-11,0
2017-06-18,0
2017-06-25,0
2017-07-02,0
2017-07-09,26
2017-07-16,75
2017-07-23,100
2017-07-30,61
2017-08-06,78
2017-08-13,43
2017-08-20,0
2017-08-27,0
2017-09-03,0
2017-09-10,0
2017-09-17,25
2017-09-24,0
2017-10-01,0
2017-10-08,0
2017-10-15,0
2017-10-22,0
2017-10-29,0
2017-11-05,0
2017-11-12,0
2017-11-19,0
2017-11-26,0
2017-12-03,0
2017-12-10,0
2017-12-17,0
2017-12-24,0
2017-12-31,29
