类别：所有类别

周,流行性感冒: (澳门)
2013-12-29,71
2014-01-05,100
2014-01-12,66
2014-01-19,66
2014-01-26,61
2014-02-02,55
2014-02-09,0
2014-02-16,0
2014-02-23,0
2014-03-02,0
2014-03-09,45
2014-03-16,90
2014-03-23,0
2014-03-30,0
2014-04-06,0
2014-04-13,50
2014-04-20,0
2014-04-27,0
2014-05-04,0
2014-05-11,0
2014-05-18,0
2014-05-25,0
2014-06-01,0
2014-06-08,0
2014-06-15,0
2014-06-22,0
2014-06-29,0
2014-07-06,0
2014-07-13,0
2014-07-20,0
2014-07-27,0
2014-08-03,0
2014-08-10,0
2014-08-17,0
2014-08-24,0
2014-08-31,0
2014-09-07,44
2014-09-14,0
2014-09-21,0
2014-09-28,0
2014-10-05,0
2014-10-12,0
2014-10-19,0
2014-10-26,0
2014-11-02,0
2014-11-09,42
2014-11-16,0
2014-11-23,0
2014-11-30,100
2014-12-07,52
2014-12-14,0
2014-12-21,0
2014-12-28,0
