类别：所有类别

周,流行性感冒疫苗: (澳门)
2024-12-29,0
2025-01-05,26
2025-01-12,21
2025-01-19,17
2025-01-26,0
2025-02-02,100
2025-02-09,64
2025-02-16,16
2025-02-23,14
2025-03-02,0
2025-03-09,0
2025-03-16,0
2025-03-23,0
2025-03-30,0
2025-04-06,0
2025-04-13,0
2025-04-20,0
2025-04-27,0
2025-05-04,0
2025-05-11,0
2025-05-18,0
2025-05-25,0
2025-06-01,0
2025-06-08,0
2025-06-15,0
2025-06-22,0
2025-06-29,0
2025-07-06,0
2025-07-13,0
2025-07-20,0
2025-07-27,0
2025-08-03,0
2025-08-10,0
2025-08-17,0
2025-08-24,0
2025-08-31,0
2025-09-07,0
2025-09-14,0
2025-09-21,0
2025-09-28,0
2025-10-05,0
2025-10-12,18
2025-10-19,22
2025-10-26,23
2025-11-02,26
2025-11-09,19
2025-11-16,19
2025-11-23,14
2025-11-30,15
2025-12-07,0
2025-12-14,0
2025-12-21,0
2025-12-28,4
