类别：所有类别

周,流行性感冒疫苗: (香港)
2012-12-30,0
2013-01-06,56
2013-01-13,100
2013-01-20,72
2013-01-27,42
2013-02-03,0
2013-02-10,0
2013-02-17,0
2013-02-24,0
2013-03-03,0
2013-03-10,0
2013-03-17,0
2013-03-24,0
2013-03-31,0
2013-04-07,0
2013-04-14,0
2013-04-21,0
2013-04-28,0
2013-05-05,0
2013-05-12,0
2013-05-19,0
2013-05-26,0
2013-06-02,0
2013-06-09,0
2013-06-16,0
2013-06-23,0
2013-06-30,0
2013-07-07,0
2013-07-14,0
2013-07-21,0
2013-07-28,0
2013-08-04,0
2013-08-11,0
2013-08-18,0
2013-08-25,0
2013-09-01,0
2013-09-08,0
2013-09-15,0
2013-09-22,0
2013-09-29,40
2013-10-06,56
2013-10-13,37
2013-10-20,80
2013-10-27,43
2013-11-03,34
2013-11-10,45
2013-11-17,36
2013-11-24,77
2013-12-01,0
2013-12-08,53
2013-12-15,0
2013-12-22,0
2013-12-29,34
